date,n_companies,n_with_nan
1963,48,1
1964,378,10
1965,402,10
1966,428,16
1967,459,19
1968,479,13
1969,507,11
1970,539,11
1971,562,0
1972,581,0
1973,598,1
1974,681,5
1975,694,5
1976,689,4
1977,683,5
1978,673,5
1979,670,3
1980,692,1
1981,684,3
1982,668,1
1983,673,2
1984,659,1
1985,656,2
1986,655,2
1987,635,1
1988,633,1
1989,616,3
1990,630,3
1991,661,4
1992,683,2
1993,725,3
1994,758,1
1995,822,2
1996,874,1
1997,897,1
1998,941,4
1999,1000,10
2000,1045,5
2001,906,6
2002,787,4
2003,790,1
2004,772,1
2005,747,1
2006,733,0
2007,715,2
2008,709,2
2009,724,0
2010,732,0
2011,712,1
2012,721,1
2013,716,1
2014,724,0
2015,757,0
2016,754,1
2017,746,1
2018,734,1
2019,762,2
2020,808,0
2021,792,3
2022,766,0
2023,794,2
2024,767,2
